ProductID,Name,Category,Price,Quantity
101,Smartphone A1,Mobile Phones,699.99,25
102,Smartphone B2,Mobile Phones,799.99,30
103,Laptop X1,Laptops,1299.99,15
104,Laptop Y2,Laptops,1099.99,10
105,Wireless Headphones Z3,Audio,199.99,40
106,Bluetooth Speaker X5,Audio,149.99,35
107,Smartwatch S1,Wearables,249.99,20
108,Fitness Band F2,Wearables,99.99,50
109,Tablet Pro 10,Tablets,599.99,18
110,Tablet Mini 7,Tablets,399.99,25
111,Gaming Console G1,Gaming,499.99,12
112,Wireless Mouse M1,Accessories,29.99,60
113,Mechanical Keyboard K2,Accessories,89.99,45
114,Monitor 24-inch,Displays,199.99,22
115,Monitor 27-inch,Displays,299.99,18
116,External Hard Drive 1TB,Storage,79.99,40
117,USB Flash Drive 128GB,Storage,24.99,75
118,Router AX3000,Networking,129.99,20
119,WiFi Extender,Networking,59.99,30
120,Power Bank 20000mAh,Accessories,49.99,50
121,Smart TV 55-inch,TVs,899.99,8
122,Smart TV 65-inch,TVs,1199.99,6
123,Wireless Earbuds X3,Audio,149.99,50
124,VR Headset V1,Gaming,399.99,10
125,Smart Doorbell,Home Automation,129.99,15
126,Security Camera C2,Home Automation,99.99,20
127,Streaming Stick,Media Devices,49.99,35
128,Projector P1,Displays,399.99,12
129,Portable SSD 1TB,Storage,119.99,25
130,Laptop Cooling Pad,Accessories,34.99,40
131,Wireless Charger Q1,Accessories,39.99,55
132,Noise Cancelling Headphones,Audio,249.99,30
133,Electric Toothbrush,Personal Care,59.99,20
134,Digital Photo Frame,Gadgets,89.99,15
135,Dash Cam D1,Automotive,119.99,10
136,Car Phone Mount,Automotive,19.99,50
137,Smart Thermostat,Home Automation,199.99,12
138,Robot Vacuum Cleaner,Home Automation,299.99,10
139,Electric Kettle,Kitchen Appliances,49.99,25
140,Bluetooth Car Adapter,Automotive,29.99,35
141,Fingerprint Padlock,Security,39.99,20
142,Action Camera 4K,Cameras,299.99,10
143,Drone with Camera,Drones,499.99,5
144,E-Book Reader,Gadgets,129.99,20
145,Smart Light Bulb,Home Automation,24.99,40
146,Portable Bluetooth Keyboard,Accessories,49.99,30
147,Noise Machine,Personal Care,39.99,25
148,Smart Water Bottle,Gadgets,59.99,30
149,Electric Shaver,Personal Care,79.99,15
150,Digital Alarm Clock,Gadgets,29.99,35
